id_match,gols,assist
CA1,Léo Pereira,Arrascaeta
CA1,Pedro,Gerson
CA1,Everton Cebolinha,
CA1,Varela,Luiz Araújo
AM1,Pedro,
AM2,Everton Cebolinha,Gerson
CA2,Thiaguinho,Lorran
AM2,Pedro,Varela
CA4,Bruno Henrique,
CA4,Gabi,Arrascaeta
CA6,Léo Pereira,Ayrton Lucas
CA7,Gabi,Luiz Araújo
CA7,Pedro,
CA7,Ayrton Lucas,
CA8,Pedro,Arrascaeta
CA8,Pedro,Luiz Araújo
CA8,Pedro,
CA9,Luiz Araújo,Igor Jesus
CA9,Pedro,Everton Cebolinha
CA9,Arrascaeta,
CA9,Arrascaeta,de la Cruz
CA10,Pedro,Ayrton Lucas
CA10,Everton Cebolinha,Pedro
CA11,Arrascaeta,
CA11,Pedro,
CA11,Léo Pereira,
CA12,Everton Cebolinha,Pulgar
CA12,Pedro,Arrascaeta
CA14,Pedro,
CA14,Pedro,Everton Cebolinha
CA14,Own Goal,
LIB1,Pedro,
CA15,Bruno Henrique,Ayrton Lucas
LIB2,Pedro,
LIB2,Léo Ortiz,Lorran
BR1,de la Cruz,
BR1,Pedro,
BR2,Luiz Araújo,de la Cruz
BR2,de la Cruz,
LIB3,Viña,Gerson
CB1,Pedro,Viña
BR5,Bruno Henrique,de la Cruz
BR6,Lorran,Gerson
BR6,Pedro,Lorran
LIB5,Gerson,Everton Cebolinha
LIB5,Ayrton Lucas,
LIB5,Everton Cebolinha,Pedro
LIB5,Pedro,
CB2,Pedro,Igor Jesus
LIB6,Pedro,
LIB6,Own Goal,
LIB6,Pedro,Viña
BR7,Everton Cebolinha,Arrascaeta
BR7,Pedro,Everton Cebolinha
BR7,David Luiz, Everton Cebolinha
BR7,Arrascaeta,Pedro
BR7,Bruno Henrique,Arrascaeta
BR7,Gabi,Wesley
BR8,Luiz Araújo,Pedro
BR8,Luiz Araújo,Pedro
BR9,Evertton Araújo,Luiz Araújo
BR10,Gerson,Pedro
BR10,David Luiz,Gerson
BR11,Pedro,
BR12,Pedro,Luiz Araújo
BR13,Pedro,Gerson
BR13,Fabricio Bruno,Luiz Araújo
BR14,Bruno Henrique,Luiz Araújo
BR14,Carlinhos,
BR14,Ayrton Lucas,Léo Ortiz
BR14,Bruno Henrique,Pedro
BR15,Pedro,Ayrton Lucas
BR16,Pedro,
BR17,Pedro,Arrascaeta
BR17,Gabi,
BR18,Arrascaeta,Gerson
BR18,Carlinhos,Gabi
BR19,Pedro,Arrascaeta
BR19,Arrascaeta,Ayrton Lucas
CB3,Pedro,Luiz Araújo
CB3,Luiz Araújo,de la Cruz
BR21,Arrascaeta,
LIB7,Luiz Araújo,Pedro
LIB7,Leo Pereira,Luiz Araújo
BR22,Bruno Henrique,Léo Ortiz
BR23,Michael,Luiz Araújo
BR23,Own Goal,
CB5,Bruno Henrique,de la Cruz
BR24,Pedro,
CB6,Arrascaeta,Bruno Henrique
BR25,Gerson,Arrascaeta
BR26,Matheus Gonçalves,Alcaraz
BR26,Felipe Teresa,
BR27,Gerson,Wesley
CB7,Alex Sandro,Bruno Henrique
BR28,Ayrton Lucas,
BR28,Alcaraz,
BR30,Michael,
BR30,Gabriel,
BR30,Arrascaeta,Gerson
BR30,Plata,Gerson
BR31,Alcaraz,
CB9,Arrascaeta,
CB9,Gabi,Plata
CB9,Gabi,Alcaraz
BR32,David Luiz,
CB10,Plata,Bruno Henrique
BR34,Guilherme,Bruno Henrique
BR34,Matheus Gonçalves,Michael
BR36,Léo Ortiz, de la Cruz
BR36,Michael, Alex Sandro
BR36,Michael,
BR37,Varela,Ayrton Lucas
BR37,Bruno Henrique,
BR37,Luiz Araújo,Pulgar
BR38,Gabi,Pulgar
BR38,Ayrton Lucas,Pulgar
